date,dc,dd,rm,log_pd,rf
1948-03-31,0.0018059829553163098,-0.46612865203355036,0.08262799999999992,3.3215828151986355,-0.008090550048578279
1948-06-30,0.007789051937796998,0.9611883413534279,0.08350540440227516,3.3449730012220362,0.00010760856699401156
1948-09-30,-0.006409994769324356,0.006893438269692409,-0.08958647207144466,3.1751773538179338,-0.01247259596206644
1948-12-31,0.00727251403682061,0.2576556818986866,-0.04762877925790465,2.88272276172026,-0.008188673325004362
1949-03-31,0.00036607890491424655,-0.2535280385862362,0.027279319068488794,2.7244308933649926,0.007281460215985161
1949-06-30,-0.00042560112643030834,-0.1389329916374455,-0.029834978915302512,2.7120600218954656,0.005945865484733376
1949-09-30,-0.010684593379837182,0.09184283740794374,0.11961333197497703,2.8211303263698015,-0.0012727017304711879
1949-12-31,0.006972933551544713,0.15981651635627186,0.054678736647624904,2.89724985361468,0.00028155261836911526
1950-03-31,0.008515090954562154,-0.0785154950329785,0.0558618635584458,2.9197799382062612,0.005814383336937932
1950-06-30,0.012761805720119312,-0.13064501974631926,-0.025189902068339265,2.8816256070972828,0.0004080679905382565
1950-09-30,0.012181226396512201,0.32609221022335144,0.09286559398814354,2.9056947375011593,-0.0036053558342066232
1950-12-31,-0.016682550032459886,0.14862450267321436,0.01545401218159026,2.839102454722884,-0.01023588620807259
1951-03-31,0.017229602811243083,-0.7102402606302972,0.031057332633074308,2.972221451861118,-0.010089355988525719
1951-06-30,-0.010873288101015177,0.4910366254863403,-0.006306366116771822,2.8997714012402995,-0.013148991286259695
1951-09-30,0.013129543443740843,0.025187289107980293,0.12081168101736961,3.021263757138905,-0.00013342985652773612
1951-12-31,0.003587873992680457,0.26534751059141204,0.0017894945863827783,2.9987171499823466,-0.002119327923544954
1952-03-31,-0.00473771994457195,-0.2584884303237893,0.04528630129798583,2.9214553641695162,-0.005252632550706353
1952-06-30,0.016252420912946874,0.0021119596520738915,0.012769940908108124,2.921415193157613,0.00475595773286186
1952-09-30,0.01151496045694067,-0.0024555302115359945,-0.020916922178152664,2.8925171541778623,-0.0015139690291174112
1952-12-31,0.009781944343931315,0.2177006910150796,0.0864578832202545,2.972372061624929,-0.0008891794678521183
1953-03-31,0.0038068812938316654,-0.21166773727491883,-0.01313561222027404,2.9423245863797605,0.002271289512294425
1953-06-30,0.0035048871362342027,0.0018370881822665774,-0.044639898247004095,2.8904011593075762,0.004208325042724888
1953-09-30,-0.008175302521047811,0.006150364631193228,-0.020207168629251093,2.8563278154579983,-0.0005377341116841166
1953-12-31,-0.006533017677922359,0.2645314445066923,0.07810891561414945,2.8967597055876286,1.7315710244861574e-05
1954-03-31,0.005223179967096314,-0.24900546359174003,0.11123650357149484,2.9845903115467,0.0010135735432781812
1954-06-30,0.000576136548014361,0.02101457581467925,0.08867567780503482,3.0481901324532052,0.0004290955919862944
1954-09-30,0.0096522374841026,0.015212787495101798,0.0965783859844167,3.1140898391670166,-0.0004864246822842565
1954-12-31,0.010100756967785784,0.31160168568451385,0.14283237583575814,3.1991310789467162,0.0018022381395541472
1955-03-31,0.00662418020521649,-0.2717923372802382,0.03737318428534131,3.208771073265673,0.002179812166616813
1955-06-30,0.010204135643174794,0.023704820835276363,0.11384223048615039,3.289122619734656,0.0012886329145474758
1955-09-30,0.003450148661414687,0.050577225573286366,0.01439331586196424,3.275503672846452,0.0009993002897362312
1955-12-31,0.015111211308926897,0.36151275656400483,0.06490119063796929,3.270800888861142,-0.0010252653852526102
1956-03-31,0.006466322783484912,-0.31729394732785576,0.07954247767446088,3.3116072373351857,0.004699465896055315
1956-06-30,-0.002062162607700202,0.054620612063061236,-0.022820027607419968,3.259292847355535,0.0031609033090172463
1956-09-30,-0.000313627299689756,-0.006765642418150031,-0.03859182270931871,3.197757340518511,-0.0034323237390920516
1956-12-31,0.004873807737475033,0.23733476164091638,0.04092538847200666,3.2418321945778064,0.000803647478961968
1957-03-31,0.0007767642848985901,-0.18904724062810607,-0.03475859815884563,3.181464705899419,0.0020951226104932007
1957-06-30,0.0014869718848622426,-0.34508873963101705,0.07529421674326864,3.317915839045438,0.0004973699905329674
1957-09-30,0.006829151447432125,0.354807508561931,-0.10624664763069636,3.191553408740062,0.0007571298801128563
1957-12-31,-0.004528353496851878,0.15125140877094356,-0.05627323408272933,3.1324060605421074,0.0031722145383847613
1958-03-31,-0.009865444879675778,-0.1548899656233833,0.053723679645150346,3.1872062838985875,0.002472836282321909
1958-06-30,0.007269062854961206,-0.015449287471413609,0.08412463745112753,3.1910383150369634,-0.0058763989943613985
1958-09-30,0.012123525899490062,-0.015574751872262316,0.11672376200055146,3.300756682601261,-0.0020472128269687665
1958-12-31,0.00643012721753955,0.11235830397144897,0.11483914826894392,3.420654537439015,0.004457636479416717
1959-03-31,0.008389756526675285,-0.08865317882352919,0.02520677162196172,3.4394515412594293,0.003713197775494361
1959-06-30,0.006934120184947545,0.023082158617845572,0.05122242223342233,3.4813315349567313,0.003979766599268761
1959-09-30,0.003224372199523984,-0.00018281061437863677,-0.03011869058797445,3.437592653797085,0.0008925912403354146
1959-12-31,0.004005682421663437,0.1622927191502106,0.05899733280851294,3.4638374770551152,0.005118580934761896
1960-03-31,-0.0008735967045865323,-0.12208181738447399,-0.06492542486759001,3.3731286891908163,0.007084191318061154
1960-06-30,0.00490717425447329,0.008088842333273671,0.035571315587054286,3.3938350754702356,0.0060946029501904204
1960-09-30,-0.009055608725851982,-0.013187065002251419,-0.05040950593346982,3.32549005723282,0.0002725765051332257
1960-12-31,0.0002230284190893883,0.09759387155593369,0.08653494413334228,3.414508107278422,0.0034885016602282156
1961-03-31,0.004065652153425248,-0.08526856583230735,0.1370962774344937,3.5338953684604326,-0.00025636894992722443
1961-06-30,0.009905305616850768,0.003369159362786256,0.0022831759237165183,3.528493065357839,0.003272130356888778
1961-09-30,-0.002496581757979399,7.424242066234044e-06,0.029131268201662674,3.5535986147167327,0.002955807478076838
1961-12-31,0.010828923025748338,0.17531421741562014,0.07479000055077312,3.5921583554673817,-0.0006047245542918664
1962-03-31,0.005122982929707476,-0.13674910501878457,-0.0247098704930393,3.55281365142226,0.003491133274019894
1962-06-30,0.004812900634759032,0.002749317086334635,-0.21683253922001122,3.2943695132117092,0.002079600820691723
1962-09-30,0.004162485201675281,-0.010036968937808366,0.029901610473227702,3.313673213306548,0.002296978328799941
1962-12-31,0.004262207450718591,0.22947970791805505,0.1257665751058048,3.397683668035744,0.001314800356739977
1963-03-31,0.0017855138167099938,-0.20624473956054779,0.0582042523463977,3.4469325727548425,0.003753223639993604
1963-06-30,0.003054548310322147,0.06353561918781359,0.046261757966920225,3.4686919714050695,0.0020410704288482276
1963-09-30,0.008554745623049698,-0.04968064042019238,0.03549683239040302,3.4905975127969326,0.0032527001895810413
1963-12-31,0.0008504265256892296,0.2829445247156952,0.037038866786685,3.497877458703859,0.0037490483581308987
1964-03-31,0.013391027639308106,-0.21015997237671868,0.06184288992379505,3.5304760901746364,0.0021899403923776825
1964-06-30,0.01373473416831672,0.06104897716955815,0.03465692154489464,3.53941200416772,0.005195360756620758
1964-09-30,0.013244327032968073,-0.031291628971778396,0.03510854535070851,3.5475689101020076,0.003822867870558242
1964-12-31,0.003153163364659761,0.2389924444869871,0.012953003887063552,3.537469754136898,0.0035650793909604477
1965-03-31,0.007546174740804545,-0.1775275618651957,0.03288549908398708,3.544109597196561,0.004357428079318333
1965-06-30,0.00901154985967878,0.07495119692661256,-0.03471780736119068,3.486232084129255,0.004771764071629042
1965-09-30,0.010979384623666988,-0.06005002760282907,0.08165142654180424,3.540120616200536,0.0007820624470056383
1965-12-31,0.02526012914423248,0.2550168705517397,0.04081414694940633,3.5502748892443656,0.0059306964967634854
1966-03-31,0.005999432597693755,-0.17753378699975642,-0.026705935565940697,3.5035889481542,0.004673457640912601
