year,dc,dd,rm,log_pd,rf
1930,-0.0529997076189197,-0.0030059267166164805,-0.24022901030766963,2.757462111434299,0.01154373171788999
1931,-0.023745688168885337,-0.14696656245389605,-0.38729644276051134,2.3531959037035275,0.03430032489331038
1932,-0.08823525074729588,-0.40051761354841875,0.028148399966343662,2.712657526089505,0.0511952124405293
1933,-0.02137980956972818,-0.21753577503954658,0.5589446358394095,3.3320319411127763,0.054646896166357914
1934,0.061669875784632566,0.12924492082313366,0.018745444266811795,3.1803802118403577,-0.009625035332135679
1935,0.04163859411501036,0.0701905589882661,0.40973231763904416,3.412522369978461,-0.01273330429404023
1936,0.0857902514899731,0.4188001558410239,0.3070654184532722,3.218000216926876,-0.022961805492695116
1937,0.025225089964024505,0.07150768104239846,-0.3653338283686567,2.6369080959691162,-0.010103820610423416
1938,-0.0006505566675425456,-0.4264487793363132,0.323399441363462,3.300525099037793,-0.023388064722366438
1939,0.03439551327017121,0.17805781410937271,0.01843389977545451,3.0930623414373413,0.009464063230295923
1940,0.03227392517768379,0.11396367182498146,-0.08346271620339973,2.8336217473011773,-0.0068070248750692515
1941,0.04846586348206827,-0.004891371394359467,-0.18172132764613758,2.568084838919402,-0.017606006057059465
1942,0.008353247491978522,-0.22350686530145358,0.07044005722507629,2.7916771034074936,-0.05859002571782373
1943,0.0162903591464314,-0.02038443489575892,0.24526865723221314,2.9803499322733704,-0.053529971900169074
1944,0.020513776011096496,0.042836914840262086,0.18467390632142733,3.057245671866214,-0.018950359269819625
1945,0.046331813874889605,-0.008109680246983775,0.3613533182446502,3.3333557909073583,-0.01717432887682554
1946,0.0608934459261512,-0.060505968574798175,-0.20846389581094316,3.1192502812355127,-0.015678203526734047
1947,-0.021731012996156096,0.10754061194933628,-0.05142654775011779,2.9034182611257013,-0.10288949901790483
1948,-0.0032600992691236286,0.09875452618917269,-0.0075066416134716984,2.7344479141977347,-0.04899178108923461
1949,0.0006224768379698986,0.0989590272514771,0.22706416805720075,2.7713188591035,-0.013605597592647872
1950,0.019811680638296636,0.15178868026775838,0.23150952074512743,2.7585097780871686,0.01460207366352799
1951,0.013283716965243997,-0.07941464499660689,0.13966526405816682,2.9118478225622337,-0.026883940555824454
1952,0.02231249749822517,0.004490573066223691,0.12610400165709423,2.972372061624929,-0.025066852891849838
1953,0.01772657064691785,0.016100176409036493,-0.004086837072139082,2.896759705587628,0.007783295044729768
1954,0.004963772019490165,0.06577421180390775,0.5160978660638833,3.1991310789467167,-0.0020752622340893413
1955,0.03237191481302126,0.10924589496813741,0.24817186438612326,3.2708008888611424,0.010548855122134297
1956,0.021490955990696392,0.04365629133018745,0.05570287895929371,3.2418321945778064,0.013267123120699303
1957,0.007169501091786046,0.005650556887945912,-0.1289828251661822,3.0557038390056586,0.008170436326190186
1958,0.003716408000991933,-0.051535897065134284,0.42221063558912597,3.420654537439015,-0.006224102130078828
1959,0.02885831880093015,0.026137107264416093,0.10692842059674224,3.4638374770551152,0.012644092156810654
1960,0.004634251945036638,0.014251372478103708,-0.0009060763683911288,3.414508107278422,0.01493112684863775
1961,0.009885184531009727,0.024803954902901104,0.2606138349652194,3.5921583554673817,0.006606223080210046
1962,0.0212220299966539,0.039194311702122286,-0.11441031142135427,3.397683668035744,0.01331305388619564
1963,0.015022163362031549,0.04101733466713009,0.18892281810183875,3.4978774587038584,0.012807856459989877
1964,0.0368540788185463,0.07170696680687327,0.15194520505883768,3.5374697541368985,0.014804777390277033
1965,0.038636364783782184,0.07260500006949888,0.12244995993973484,3.550274889244366,0.02122196210064583
1966,0.04020339593502875,0.025078319630539525,-0.11756163611327353,3.366801341267125,0.025349482587183364
1967,0.01804992066479727,-0.003522005890126634,0.2469991499341555,3.5607352245586346,0.012897379442612083
1968,0.0356937193532314,0.005415228291093754,0.09109805075851529,3.613640419273725,0.02160396157142784
1969,0.0240499061672228,-0.020596544391294547,-0.160631799889702,3.4286722229625393,0.024876430869958555
1970,0.017368656257565007,-0.09440195410757513,-0.05165635099151955,3.4346469937037596,0.023077735590107798
1971,0.012482707110212488,-0.041134858529929375,0.1247372429867708,3.5637764139142574,0.003211278753174847
1972,0.03580144645080274,-0.014845393311354593,0.13468318192948758,3.678337543535259,0.00942203919491208
1973,0.026427803399622363,-0.0546261327258577,-0.2525260830454925,3.411553861350897,0.03308736086481215
1974,-0.01482555603760538,-0.03514555335997782,-0.3584963888347029,2.9584961614321346,0.015074857720723409
1975,0.011499271960884627,-0.044245716544899505,0.28418078346689657,3.2116948419927542,-0.01851269446360263
1976,0.03475905816234537,0.06304013346710913,0.20945943072291806,3.2997853814491456,0.001326063091423732
1977,0.02054257426486661,0.07531180230623846,-0.09079563702503635,3.083715327927416,0.010971261934118081
1978,0.029172009365907137,0.022064633881143214,-0.004484091836188475,3.0075352266811923,0.01653364880500717
1979,0.016520346734362867,-0.001387411796845095,0.09801836481327841,3.051958170734829,0.030438230761201265
1980,-0.005084641094644127,-0.0152066437798839,0.18413247372830943,3.189216487507393,0.023236414570076747
